"Vendite_1","Scontrini_1","Vendite_2","Scontrini_2","Vendite_3","Scontrini_3","Vendite_4","Scontrini_4","Vendite_5","Scontrini_5","Vendite_6","Scontrini_6","Giorno","day","month","year","newdate","Scontrino_medio_1","Scontrino_medio_2","Scontrino_medio_3","Scontrino_medio_4","Scontrino_medio_5","Scontrino_medio_6","weekend","matches","Vacanze","INVERNO","PRIMAVERA","ESTATE","AUTUNNO","Eventi.televisivi","FENOMENI","temp_media","sole","precipitazioni","nebbia"
7627.12,866,9409.06,911,NA,NA,3335.996859,727.9916357,4841.05,596,NA,NA,"Sunday",1,1,2017,2017-01-01,8.807297921,10.32827662,NA,4.574905234,8.122567114,NA,1,0,1,1,0,0,0,0,"",NA,1,0,0
6987.16,816,7403.93,735,NA,NA,2621.02,641,5388.64,706,NA,NA,"Monday",2,1,2017,2017-01-02,8.562696078,10.07337415,NA,4.088954758,7.632634561,NA,0,0,1,1,0,0,0,0,"",4,1,0,0
6480.88,743,7213.36,723,NA,NA,2656.17,566,4973.78,697,NA,NA,"Tuesday",3,1,2017,2017-01-03,8.722584118,9.976984786,NA,4.692879859,7.135982783,NA,0,0,1,1,0,0,0,0,"",3,1,0,0
6601.46,766,8322.75,853,NA,NA,2595.82,568,4911.55,661,NA,NA,"Wednesday",4,1,2017,2017-01-04,8.618093995,9.757033998,NA,4.570105634,7.430484115,NA,0,0,1,1,0,0,0,0,"",4,1,0,0
8447.41,982,8188.21,799,NA,NA,2926.33,605,5622.54,755,NA,NA,"Thursday",5,1,2017,2017-01-05,8.602250509,10.24807259,NA,4.836909091,7.447072848,NA,0,0,1,1,0,0,0,0,"",5,1,0,0
9517.55,1102,9748.52,958,NA,NA,2206.11,470,5678.27,746,NA,NA,"Friday",6,1,2017,2017-01-06,8.636615245,10.17590814,NA,4.693851064,7.611621984,NA,0,0,1,1,0,0,0,0,"",NA,1,0,0
12039.22,1454,10997.65,1038,NA,NA,3042.33,679,6081.64,829,NA,NA,"Saturday",7,1,2017,2017-01-07,8.280068776,10.59503854,NA,4.480603829,7.336115802,NA,1,1,1,1,0,0,0,1,"",NA,1,0,0
7616.86,825,8746.71,826,NA,NA,2305.7,440,4902.7,600,NA,NA,"Sunday",8,1,2017,2017-01-08,9.232557576,10.58923729,NA,5.240227273,8.171166667,NA,1,1,1,1,0,0,0,0,"",NA,1,0,0
3527.68,451,5039,557,NA,NA,2329.11,591,3832.03,560,NA,NA,"Monday",9,1,2017,2017-01-09,7.821906874,9.046678636,NA,3.940964467,6.842910714,NA,0,0,0,1,0,0,0,0,"",0,1,0,0
3640.66,431,5381.41,598,NA,NA,2200.75,586,4060.69,547,NA,NA,"Tuesday",10,1,2017,2017-01-10,8.447006961,8.999013378,NA,3.755546075,7.423564899,NA,0,0,0,1,0,0,0,0,"",-1,1,0,0
6192.26,752,6668.44,684,NA,NA,2081.64,555,4080,577,NA,NA,"Wednesday",11,1,2017,2017-01-11,8.234388298,9.749181287,NA,3.750702703,7.071057192,NA,0,0,0,1,0,0,0,0,"",-1,1,0,0
4044.65,494,6373.49,658,NA,NA,2619.43,615,4297.46,572,NA,NA,"Thursday",12,1,2017,2017-01-12,8.187550607,9.686155015,NA,4.259235772,7.513041958,NA,0,0,0,1,0,0,0,0,"",-1,1,0,0
5656.47,683,9280.93,990,NA,NA,2632.01,636,6132.79,772,NA,NA,"Friday",13,1,2017,2017-01-13,8.281800878,9.374676768,NA,4.138380503,7.944028497,NA,0,0,0,1,0,0,0,0,"",2,1,0,0
11810.73,1416,11756.57,1156,NA,NA,3397.14,723,7630.85,957,NA,NA,"Saturday",14,1,2017,2017-01-14,8.340911017,10.17004325,NA,4.698672199,7.973719958,NA,1,1,1,1,0,0,0,1,"",NA,1,0,0
9763.07,1034,8948.53,852,NA,NA,2440.25,509,6686.54,760,NA,NA,"Sunday",15,1,2017,2017-01-15,9.442040619,10.50296948,NA,4.794204322,8.798078947,NA,1,1,1,1,0,0,0,0,"",NA,1,0,0
3952.51,497,5855.32,660,NA,NA,2413.18,616,3752.97,555,NA,NA,"Monday",16,1,2017,2017-01-16,7.952736419,8.87169697,NA,3.9175,6.762108108,NA,0,1,0,1,0,0,0,0,"",1,1,0,0
3919.69,488,6023.32,652,NA,NA,2684.89,613,4204.77,625,NA,NA,"Tuesday",17,1,2017,2017-01-17,8.032151639,9.238220859,NA,4.379918434,6.727632,NA,0,0,0,1,0,0,0,0,"",1,1,0,0
4120.57,506,7013.96,777,NA,NA,2786.04,650,4237.49,586,NA,NA,"Wednesday",18,1,2017,2017-01-18,8.143418972,9.026975547,NA,4.286215385,7.231211604,NA,0,0,0,1,0,0,0,0,"",1,1,0,0
4474.33,533,6653.01,697,NA,NA,2785.1,616,5435.47,734,NA,NA,"Thursday",19,1,2017,2017-01-19,8.394615385,9.545208034,NA,4.521266234,7.40527248,NA,0,0,0,1,0,0,0,0,"",3,1,0,0
6031.1,731,9337.04,989,NA,NA,2805.89,628,6594.98,858,NA,NA,"Friday",20,1,2017,2017-01-20,8.250478796,9.440889788,NA,4.467977707,7.686456876,NA,0,0,0,1,0,0,0,0,"",1,1,0,0
10923.73,1375,12009.36,1235,NA,NA,3752.62,791,8388.98,1042,NA,NA,"Saturday",21,1,2017,2017-01-21,7.944530909,9.724178138,NA,4.74414665,8.05084453,NA,1,1,1,1,0,0,0,1,"",NA,1,0,0
8071.33,908,9156.85,873,NA,NA,2471.06,507,6367.82,776,NA,NA,"Sunday",22,1,2017,2017-01-22,8.889129956,10.48894616,NA,4.873885602,8.205953608,NA,1,1,1,1,0,0,0,0,"",NA,1,0,0
3467.09,445,5046.37,580,NA,NA,2800.48,636,3649.74,552,NA,NA,"Monday",23,1,2017,2017-01-23,7.791213483,8.700637931,NA,4.40327044,6.611847826,NA,0,0,0,1,0,0,0,0,"",4,1,0,0
3968.23,518,6302.41,689,NA,NA,2311.37,582,4247.98,597,NA,NA,"Tuesday",24,1,2017,2017-01-24,7.660675676,9.147184325,NA,3.971426117,7.115544389,NA,0,0,0,1,0,0,0,0,"",6,1,0,0
4143.82,552,6427.15,692,NA,NA,2680.68,617,4092.26,604,NA,NA,"Wednesday",25,1,2017,2017-01-25,7.50692029,9.287789017,NA,4.344700162,6.775264901,NA,0,0,0,1,0,0,0,0,"",3,1,0,0
3890.89,495,6773.76,755,NA,NA,2707.39,652,4901.71,664,NA,NA,"Thursday",26,1,2017,2017-01-26,7.860383838,8.97186755,NA,4.15243865,7.382093373,NA,0,0,0,1,0,0,0,0,"",NA,1,0,0
6224.46,773,8835.7,981,NA,NA,3074.69,705,6403.91,814,NA,NA,"Friday",27,1,2017,2017-01-27,8.052341527,9.006829766,NA,4.361262411,7.867211302,NA,0,0,0,1,0,0,0,0,"",3,1,0,0
10845.25,1389,10909.84,1119,NA,NA,3346.97,744,8058.13,951,NA,NA,"Saturday",28,1,2017,2017-01-28,7.807955364,9.749633601,NA,4.498615591,8.473322818,NA,1,1,1,1,0,0,0,1,"",NA,1,0,0
