"newdate" "Vendite_1" "Scontrini_1" "Vendite_2" "Scontrini_2" "Vendite_3" "Scontrini_3" "Vendite_4" "Scontrini_4" "Vendite_5" "Scontrini_5" "Vendite_6" "Scontrini_6" "Giorno" "day" "month" "year" "Scontrino_medio_1" "Scontrino_medio_2" "Scontrino_medio_3" "Scontrino_medio_4" "Scontrino_medio_5" "Scontrino_medio_6" "ZONA"
"72" "2020-03-12" NA NA NA NA NA NA NA NA NA NA NA NA "giovedì" 12 3 2020 NA NA NA NA NA NA NA
"73" "2020-03-13" NA NA NA NA NA NA NA NA NA NA NA NA "venerdì" 13 3 2020 NA NA NA NA NA NA NA
"74" "2020-03-14" NA NA NA NA NA NA NA NA NA NA NA NA "sabato" 14 3 2020 NA NA NA NA NA NA NA
"75" "2020-03-15" NA NA NA NA NA NA NA NA NA NA NA NA "domenica" 15 3 2020 NA NA NA NA NA NA NA
"76" "2020-03-16" NA NA NA NA NA NA NA NA NA NA NA NA "lunedì" 16 3 2020 NA NA NA NA NA NA NA
"77" "2020-03-17" NA NA NA NA NA NA NA NA NA NA NA NA "martedì" 17 3 2020 NA NA NA NA NA NA NA
"78" "2020-03-18" NA NA NA NA NA NA NA NA NA NA NA NA "mercoledì" 18 3 2020 NA NA NA NA NA NA NA
"79" "2020-03-19" NA NA NA NA NA NA NA NA NA NA NA NA "giovedì" 19 3 2020 NA NA NA NA NA NA NA
"80" "2020-03-20" NA NA NA NA NA NA NA NA NA NA NA NA "venerdì" 20 3 2020 NA NA NA NA NA NA NA
"81" "2020-03-21" NA NA NA NA NA NA NA NA NA NA NA NA "sabato" 21 3 2020 NA NA NA NA NA NA NA
"82" "2020-03-22" NA NA NA NA NA NA NA NA NA NA NA NA "domenica" 22 3 2020 NA NA NA NA NA NA NA
"83" "2020-03-23" NA NA NA NA NA NA NA NA NA NA NA NA "lunedì" 23 3 2020 NA NA NA NA NA NA NA
"84" "2020-03-24" NA NA NA NA NA NA NA NA NA NA NA NA "martedì" 24 3 2020 NA NA NA NA NA NA NA
"85" "2020-03-25" NA NA NA NA NA NA NA NA NA NA NA NA "mercoledì" 25 3 2020 NA NA NA NA NA NA NA
"86" "2020-03-26" NA NA NA NA NA NA NA NA NA NA NA NA "giovedì" 26 3 2020 NA NA NA NA NA NA NA
"87" "2020-03-27" NA NA NA NA NA NA NA NA NA NA NA NA "venerdì" 27 3 2020 NA NA NA NA NA NA NA
"88" "2020-03-28" NA NA NA NA NA NA NA NA NA NA NA NA "sabato" 28 3 2020 NA NA NA NA NA NA NA
"89" "2020-03-29" NA NA NA NA NA NA NA NA NA NA NA NA "domenica" 29 3 2020 NA NA NA NA NA NA NA
"90" "2020-03-30" NA NA NA NA NA NA NA NA NA NA NA NA "lunedì" 30 3 2020 NA NA NA NA NA NA NA
"91" "2020-03-31" NA NA NA NA NA NA NA NA NA NA NA NA "martedì" 31 3 2020 NA NA NA NA NA NA NA
"92" "2020-04-01" NA NA NA NA NA NA NA NA NA NA NA NA "mercoledì" 1 4 2020 NA NA NA NA NA NA NA
"93" "2020-04-02" NA NA NA NA NA NA NA NA NA NA NA NA "giovedì" 2 4 2020 NA NA NA NA NA NA NA
"94" "2020-04-03" NA NA NA NA NA NA NA NA NA NA NA NA "venerdì" 3 4 2020 NA NA NA NA NA NA NA
"95" "2020-04-04" NA NA NA NA NA NA NA NA NA NA NA NA "sabato" 4 4 2020 NA NA NA NA NA NA NA
"96" "2020-04-05" NA NA NA NA NA NA NA NA NA NA NA NA "domenica" 5 4 2020 NA NA NA NA NA NA NA
"97" "2020-04-06" NA NA NA NA NA NA NA NA NA NA NA NA "lunedì" 6 4 2020 NA NA NA NA NA NA NA
"98" "2020-04-07" NA NA NA NA NA NA NA NA NA NA NA NA "martedì" 7 4 2020 NA NA NA NA NA NA NA
"99" "2020-04-08" NA NA NA NA NA NA NA NA NA NA NA NA "mercoledì" 8 4 2020 NA NA NA NA NA NA NA
"100" "2020-04-09" NA NA NA NA NA NA NA NA NA NA NA NA "giovedì" 9 4 2020 NA NA NA NA NA NA NA
"101" "2020-04-10" NA NA NA NA NA NA NA NA NA NA NA NA "venerdì" 10 4 2020 NA NA NA NA NA NA NA
"102" "2020-04-11" NA NA NA NA NA NA NA NA NA NA NA NA "sabato" 11 4 2020 NA NA NA NA NA NA NA
"103" "2020-04-12" NA NA NA NA NA NA NA NA NA NA NA NA "domenica" 12 4 2020 NA NA NA NA NA NA NA
"104" "2020-04-13" NA NA NA NA NA NA NA NA NA NA NA NA "lunedì" 13 4 2020 NA NA NA NA NA NA NA
"105" "2020-04-14" NA NA NA NA NA NA NA NA NA NA NA NA "martedì" 14 4 2020 NA NA NA NA NA NA NA
"106" "2020-04-15" NA NA NA NA NA NA NA NA NA NA NA NA "mercoledì" 15 4 2020 NA NA NA NA NA NA NA
"107" "2020-04-16" NA NA NA NA NA NA NA NA NA NA NA NA "giovedì" 16 4 2020 NA NA NA NA NA NA NA
"108" "2020-04-17" NA NA NA NA NA NA NA NA NA NA NA NA "venerdì" 17 4 2020 NA NA NA NA NA NA NA
"109" "2020-04-18" NA NA NA NA NA NA NA NA NA NA NA NA "sabato" 18 4 2020 NA NA NA NA NA NA NA
"110" "2020-04-19" NA NA NA NA NA NA NA NA NA NA NA NA "domenica" 19 4 2020 NA NA NA NA NA NA NA
"111" "2020-04-20" NA NA NA NA NA NA NA NA NA NA NA NA "lunedì" 20 4 2020 NA NA NA NA NA NA NA
"112" "2020-04-21" NA NA NA NA NA NA NA NA NA NA NA NA "martedì" 21 4 2020 NA NA NA NA NA NA NA
"113" "2020-04-22" NA NA NA NA NA NA NA NA NA NA NA NA "mercoledì" 22 4 2020 NA NA NA NA NA NA NA
"114" "2020-04-23" NA NA NA NA NA NA NA NA NA NA NA NA "giovedì" 23 4 2020 NA NA NA NA NA NA NA
"115" "2020-04-24" NA NA NA NA NA NA NA NA NA NA NA NA "venerdì" 24 4 2020 NA NA NA NA NA NA NA
"116" "2020-04-25" NA NA NA NA NA NA NA NA NA NA NA NA "sabato" 25 4 2020 NA NA NA NA NA NA NA
"117" "2020-04-26" NA NA NA NA NA NA NA NA NA NA NA NA "domenica" 26 4 2020 NA NA NA NA NA NA NA
"118" "2020-04-27" NA NA NA NA NA NA NA NA NA NA NA NA "lunedì" 27 4 2020 NA NA NA NA NA NA NA
"119" "2020-04-28" NA NA NA NA NA NA NA NA NA NA NA NA "martedì" 28 4 2020 NA NA NA NA NA NA NA
"120" "2020-04-29" NA NA NA NA NA NA NA NA NA NA NA NA "mercoledì" 29 4 2020 NA NA NA NA NA NA NA
"121" "2020-04-30" NA NA NA NA NA NA 0 1 NA NA NA NA "giovedì" 30 4 2020 NA NA NA 0 NA NA NA
"122" "2020-05-01" NA NA NA NA NA NA NA NA NA NA NA NA "venerdì" 1 5 2020 NA NA NA NA NA NA NA
"123" "2020-05-02" NA NA NA NA NA NA NA NA NA NA NA NA "sabato" 2 5 2020 NA NA NA NA NA NA NA
