Vendite	Scontrini	Vendite.1	Scontrini.1	Vendite.2	Scontrini.2	Vendite.3	Scontrini.3	Vendite.4	Scontrini.4	Vendite.5	Scontrini.5	Giorno	day	month	year	newdate
7627.12	866.0	9409.06	911.0					4841.05	596.0				1	1	2017	2017-01-01
6987.16	816.0	7403.93	735.0			2621.02	641.0	5388.64	706.0				2	1	2017	2017-01-02
6480.88	743.0	7213.36	723.0			2656.17	566.0	4973.78	697.0				3	1	2017	2017-01-03
6601.46	766.0	8322.75	853.0			2595.82	568.0	4911.55	661.0				4	1	2017	2017-01-04
8447.41	982.0	8188.21	799.0			2926.33	605.0	5622.54	755.0				5	1	2017	2017-01-05
9517.55	1102.0	9748.52	958.0			2206.11	470.0	5678.27	746.0				6	1	2017	2017-01-06
12039.22	1454.0	10997.65	1038.0			3042.33	679.0	6081.64	829.0				7	1	2017	2017-01-07
7616.86	825.0	8746.71	826.0			2305.70	440.0	4902.70	600.0				8	1	2017	2017-01-08
3527.68	451.0	5039.00	557.0			2329.11	591.0	3832.03	560.0				9	1	2017	2017-01-09
3640.66	431.0	5381.41	598.0			2200.75	586.0	4060.69	547.0				10	1	2017	2017-01-10
6192.26	752.0	6668.44	684.0			2081.64	555.0	4080.00	577.0				11	1	2017	2017-01-11
4044.65	494.0	6373.49	658.0			2619.43	615.0	4297.46	572.0				12	1	2017	2017-01-12
5656.47	683.0	9280.93	990.0			2632.01	636.0	6132.79	772.0				13	1	2017	2017-01-13
11810.73	1416.0	11756.57	1156.0			3397.14	723.0	7630.85	957.0				14	1	2017	2017-01-14
9763.07	1034.0	8948.53	852.0			2440.25	509.0	6686.54	760.0				15	1	2017	2017-01-15
3952.51	497.0	5855.32	660.0			2413.18	616.0	3752.97	555.0				16	1	2017	2017-01-16
3919.69	488.0	6023.32	652.0			2684.89	613.0	4204.77	625.0				17	1	2017	2017-01-17
4120.57	506.0	7013.96	777.0			2786.04	650.0	4237.49	586.0				18	1	2017	2017-01-18
4474.33	533.0	6653.01	697.0			2785.10	616.0	5435.47	734.0				19	1	2017	2017-01-19
6031.10	731.0	9337.04	989.0			2805.89	628.0	6594.98	858.0				20	1	2017	2017-01-20
10923.73	1375.0	12009.36	1235.0			3752.62	791.0	8388.98	1042.0				21	1	2017	2017-01-21
8071.33	908.0	9156.85	873.0			2471.06	507.0	6367.82	776.0				22	1	2017	2017-01-22
3467.09	445.0	5046.37	580.0			2800.48	636.0	3649.74	552.0				23	1	2017	2017-01-23
3968.23	518.0	6302.41	689.0			2311.37	582.0	4247.98	597.0				24	1	2017	2017-01-24
4143.82	552.0	6427.15	692.0			2680.68	617.0	4092.26	604.0				25	1	2017	2017-01-25
3890.89	495.0	6773.76	755.0			2707.39	652.0	4901.71	664.0				26	1	2017	2017-01-26
6224.46	773.0	8835.70	981.0			3074.69	705.0	6403.91	814.0				27	1	2017	2017-01-27
10845.25	1389.0	10909.84	1119.0			3346.97	744.0	8058.13	951.0				28	1	2017	2017-01-28
7767.09	871.0	9295.40	871.0			2159.16	461.0	6651.06	785.0				29	1	2017	2017-01-29
3854.85	482.0	5966.55	641.0			2341.69	588.0	3871.55	546.0				30	1	2017	2017-01-30
3926.68	477.0	5979.41	626.0			2430.98	591.0	4226.09	588.0				31	1	2017	2017-01-31
4537.30	546.0	6691.48	707.0			2448.84	591.0	4163.53	586.0				1	2	2017	2017-02-01
3646.42	443.0	6511.36	712.0			2318.91	612.0	4244.07	608.0				2	2	2017	2017-02-02
5894.14	725.0	8763.48	984.0			2894.55	647.0	6141.30	816.0				3	2	2017	2017-02-03
10220.86	1333.0	11207.06	1131.0			3351.18	770.0	8544.03	1033.0				4	2	2017	2017-02-04
6781.98	797.0	7988.86	795.0			2121.33	406.0	5852.81	692.0				5	2	2017	2017-02-05
3415.47	437.0	5479.98	616.0			2497.51	688.0	3612.31	535.0				6	2	2017	2017-02-06
3728.62	464.0	6180.83	677.0			2336.60	621.0	3718.09	571.0				7	2	2017	2017-02-07
6487.24	816.0	6606.30	722.0			2797.34	683.0	4234.05	616.0				8	2	2017	2017-02-08
4097.64	524.0	6690.63	732.0			3083.39	692.0	4453.38	600.0				9	2	2017	2017-02-09
5942.16	753.0	9930.13	1093.0			3545.97	704.0	6520.80	846.0				10	2	2017	2017-02-10
10253.45	1348.0	11491.89	1175.0			3412.86	779.0	7712.31	972.0				11	2	2017	2017-02-11
7543.50	869.0	9507.82	916.0			2692.85	514.0	6340.80	733.0				12	2	2017	2017-02-12
3998.09	499.0	5261.21	616.0			2753.55	670.0	3774.33	550.0				13	2	2017	2017-02-13
4863.42	585.0	6943.75	734.0			2817.72	645.0	5007.39	693.0				14	2	2017	2017-02-14
4550.11	567.0	6201.70	725.0			3044.89	693.0	4464.40	619.0				15	2	2017	2017-02-15
4070.75	533.0	6706.25	748.0			2496.98	626.0	4456.06	643.0				16	2	2017	2017-02-16
5624.39	741.0	8851.41	1005.0			2711.26	655.0	6110.11	847.0				17	2	2017	2017-02-17
10026.92	1259.0	11341.00	1134.0			3499.17	789.0	8145.88	1083.0				18	2	2017	2017-02-18
7852.23	863.0	9286.27	889.0			2818.62	569.0	6720.46	810.0				19	2	2017	2017-02-19
3551.00	469.0	5403.32	639.0			2515.40	653.0	3639.63	572.0				20	2	2017	2017-02-20
3766.13	514.0	5710.68	667.0			2754.23	656.0	4181.88	618.0				21	2	2017	2017-02-21
3646.42	557.0	6483.67	744.0			3009.98	673.0	4178.84	617.0				22	2	2017	2017-02-22
3995.17	517.0	6467.24	732.0			2369.06	597.0	4827.18	698.0				23	2	2017	2017-02-23
5290.64	669.0	8543.29	976.0			3134.82	730.0	6299.21	886.0				24	2	2017	2017-02-24
9718.05	1275.0	11357.02	1210.0			3484.04	745.0	7844.38	1027.0				25	2	2017	2017-02-25
7810.37	918.0	9391.22	871.0			2442.50	533.0	6662.84	841.0				26	2	2017	2017-02-26
6008.40	789.0	6012.91	677.0			2676.27	718.0	5062.60	684.0				27	2	2017	2017-02-27
4675.63	570.0	6888.06	814.0			2496.48	672.0	5004.80	733.0				28	2	2017	2017-02-28
4383.02	570.0	6808.34	788.0			3048.72	741.0	4302.65	645.0				1	3	2017	2017-03-01
4234.33	533.0	6312.61	686.0			2599.55	671.0	4947.22	687.0				2	3	2017	2017-03-02
